url,title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
https://www.netflix.com/title/70005379,The Shawshank Redemption,movie,Drama,1994.0,tt0111161,9.3,2956023.0,"AD, BA, BE, BG, CA, CV, CZ, ES, GQ, HR, HU, IN, MD, ME, MK, MZ, NL, PL, PT, RO, RS, SI, SK"
https://www.netflix.com/title/60028202,Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",1991.0,tt0103064,8.6,1199877.0,"AD, AE, AO, AR, AU, BE, BH, BO, BR, BZ, CA, CH, CL, CO, CR, CV, CY, DK, DZ, EC, EG, ES, FI, FR, GF, GH, GQ, GR, GT, HK, HN, IL, IQ, IS, IT, JO, JP, KE, KR, KW, LB, LU, LY, MA, MC, MX, MZ, NG, NI, NO, NZ, OM, PA, PE, PF, PL, PS, PT, PY, QA, SA, SC, SE, SV, TN, TR, TW, TZ, UG, UY, VE, YE, ZA, ZM, ZW"
https://www.netflix.com/title/911839,A River Runs Through It,movie,Drama,1992.0,tt0105265,7.2,66713.0,KR
,Terminator 3: Rise of the Machines,movie,"Action, Sci-Fi",2003.0,tt0181852,6.3,423523.0,"AE, BH, DZ, EE, EG, IQ, JO, KW, LB, LY, MA, OM, PS, QA, SA, TN, YE"
https://www.netflix.com/title/70058024,Ocean's Thirteen,movie,"Crime, Thriller",2007.0,tt0496806,6.9,372367.0,"AT, BE, CH, DE, LI, LU"
https://www.netflix.com/title/60029156,Swimming Pool,movie,"Crime, Drama, Mystery",2003.0,tt0324133,6.7,49081.0,"BG, EE, GR, IS, KR, LI, LT, LV, NL, PT, RO"
https://www.netflix.com/title/60021985,Beverly Hills Cop III,movie,"Action, Comedy, Crime",1994.0,tt0109254,5.5,95924.0,"ES, IT, KR, NZ"
https://www.netflix.com/title/60036241,Catwoman,movie,"Action, Crime, Fantasy",2004.0,tt0327554,3.4,127514.0,BE
https://www.netflix.com/title/60031232,Mystic River,movie,"Crime, Drama, Mystery",2003.0,tt0327056,7.9,494125.0,"AD, AT, BE, CH, DE, ES, IT, LI, LU, PT, SM"
https://www.netflix.com/title/319867,Das Boot,movie,"Drama, War",1981.0,tt0082096,8.4,268961.0,"BE, DK, FI, LU, MT, NL, NO, SE"
https://www.netflix.com/title/21236200,A Fistful of Dollars,movie,"Action, Drama, Western",1964.0,tt0058461,7.9,238169.0,"AT, CH, DE, IT, LI, SM"
,Chocolat,movie,"Drama, Romance",2000.0,tt0241303,7.2,204325.0,"BE, CA, NL"
https://www.netflix.com/title/60032563,Kill Bill: Vol. 2,movie,"Action, Crime, Thriller",2004.0,tt0378194,8.0,821619.0,"AE, AL, AO, AT, AU, AZ, BG, BH, BY, CA, CI, CM, CZ, DE, DK, EE, EG, FI, FJ, GH, GQ, GR, HR, HU, IQ, IS, IT, JO, KE, KR, KW, LB, LI, LT, LU, LV, LY, MC, MD, ME, MK, MT, MZ, NE, NG, NO, NZ, OM, PL, QA, RO, RS, SA, SC, SE, SI, SK, SM, SN, TR, TZ, UA, UG, YE, ZA, ZM, ZW"
https://www.netflix.com/title/461590,Driving Miss Daisy,movie,"Comedy, Drama",1989.0,tt0097239,7.3,119127.0,KR
https://www.netflix.com/title/70067840,Summer in Berlin,movie,Drama,2005.0,tt0477877,6.9,2999.0,"AT, CH, DE"
https://www.netflix.com/title/60025061,The Pianist,movie,"Biography, Drama, Music",2002.0,tt0253474,8.5,936244.0,"AR, BO, BR, BZ, CL, CO, CR, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"
https://www.netflix.com/title/60034574,The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004.0,tt0319262,6.5,487296.0,"AD, AE, AL, AO, BA, BE, BG, BH, CA, CH, CI, CM, CV, CY, CZ, DZ, EE, EG, ES, FJ, FR, GB, GF, GG, GH, GQ, GR, HK, HR, HU, ID, IE, IL, IQ, JO, JP, KE, KR, KW, LB, LT, LU, LV, LY, MA, MC, ME, MG, MK, ML, MU, MY, MZ, NE, NG, NL, OM, PF, PH, PL, PS, PT, QA, RO, RS, SA, SC, SG, SI, SK, SN, TD, TH, TN, TR, TW, TZ, UG, YE, ZA, ZM, ZW"
https://www.netflix.com/title/60021793,A Beautiful Mind,movie,"Biography, Drama, Mystery",2001.0,tt0268978,8.2,1003083.0,"AL, HR, JO, PK"
https://www.netflix.com/title/70076513,Sissi,movie,"Comedy, Drama, History",1955.0,tt0048624,7.0,10206.0,"AT, CH, DE"
https://www.netflix.com/title/70076515,Sissi: The Young Empress,movie,"Drama, History",1956.0,tt0049762,6.6,7484.0,"AT, CH, DE"
https://www.netflix.com/title/70076516,Sissi: The Fateful Years of an Empress,movie,"Drama, History, Romance",1957.0,tt0050974,6.6,6119.0,"AT, CH, DE"
https://www.netflix.com/title/60000165,Erin Brockovich,movie,"Biography, Drama",2000.0,tt0195685,7.4,226784.0,"AL, BA, BG, CH, CZ, FR, GB, GF, GG, GI, HR, HU, IE, MA, MC, ME, MK, MU, PF, PL, RO, RS, SI, SK, TN"
https://www.netflix.com/title/70023507,As It Is in Heaven,movie,"Comedy, Drama, Music",2004.0,tt0382330,7.5,18450.0,"DK, FI, NO, SE"
https://www.netflix.com/title/60035031,My Own Private Idaho,movie,Drama,1991.0,tt0102494,7.0,63215.0,JP
https://www.netflix.com/title/60011001,The African Queen,movie,"Adventure, Drama, Romance",1951.0,tt0043265,7.7,85498.0,"BG, CY, CZ, DK, EE, FI, GR, HR, HU, IS, IT, LT, LV, MT, NL, NO, PT, RO, SE, SI, SK"
https://www.netflix.com/title/70127971,The Seventh Seal,movie,"Drama, Fantasy",1957.0,tt0050976,8.1,202601.0,"DK, FI, NO, SE"
https://www.netflix.com/title/60000417,The Green Mile,movie,"Crime, Drama, Fantasy",1999.0,tt0120689,8.6,1441340.0,"AD, AE, AL, AZ, BA, BE, BG, BH, BY, CH, CZ, DZ, EE, EG, FJ, FR, GB, GF, GG, GI, HK, HR, HU, ID, IE, IL, IN, IQ, IT, JO, KW, LB, LT, LU, LV, LY, MA, MC, MD, ME, MK, MT, MY, NL, OM, PF, PH, PK, PL, PS, QA, RO, RS, SA, SG, SI, SK, SM, TH, TN, TW, UA, YE"
https://www.netflix.com/title/70044697,Poseidon,movie,"Action, Adventure, Thriller",2006.0,tt0409182,5.7,111682.0,JP
https://www.netflix.com/title/60032559,Monster,movie,"Biography, Crime, Drama",2003.0,tt0340855,7.3,164908.0,KR
